Date,Cover,Book,Author,Leader,Notes,ISBN,Amazon Link,Image Link,Thumbnail Link
2011-07-23,,Physics of the Future: How Science Will Shape Human Destiny and Our Daily Lives by the Year 2100,Michio Kaku,,,0307473333,http://www.amazon.com/dp/product/0307473333,http://images.amazon.com/images/P/0307473333.jpg,http://images.amazon.com/images/P/0307473333.01.jpg
2011-08-13,,"Atlantic: Great Sea Battles, Heroic Discoveries, Titanic Storms, and a Vast Ocean of a Million Stories",Simon Winchester,Bill Phillips,,0061702625,http://www.amazon.com/dp/product/0061702625,http://images.amazon.com/images/P/0061702625.jpg,http://images.amazon.com/images/P/0061702625.01.jpg
2011-10-08,,Just My Type: A Book About Fonts,Simon Garfield,Jason,,1592407463,http://www.amazon.com/dp/product/1592407463,http://images.amazon.com/images/P/1592407463.jpg,http://images.amazon.com/images/P/1592407463.01.jpg
2011-11-05,,"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",Erik Larson,Stephen Houser,,030740885X,http://www.amazon.com/dp/product/030740885X,http://images.amazon.com/images/P/030740885X.jpg,http://images.amazon.com/images/P/030740885X.01.jpg
2012-01-14,,Steve Jobs,"Isaacson, Walter",,,1501127624,http://www.amazon.com/dp/product/1501127624,http://images.amazon.com/images/P/1501127624.jpg,http://images.amazon.com/images/P/1501127624.01.jpg
2012-02-18,,"Thinking, Fast and Slow","Kahneman, Daniel",Stephen Houser,,0374533555,http://www.amazon.com/dp/product/0374533555,http://images.amazon.com/images/P/0374533555.jpg,http://images.amazon.com/images/P/0374533555.01.jpg
2012-03-17,,Longitude: The True Story of a Lone Genius Who Solved the Greatest Scientific Problem of His Time,"Sobel, Dava",Stephen Houser,,0007790163,http://www.amazon.com/dp/product/0007790163,https://images-na.ssl-images-amazon.com/images/I/51PmasKqtjL.jpg,https://images-na.ssl-images-amazon.com/images/I/51PmasKqtjL.jpg
2012-04-21,,Becoming China's Bitch: And Nine More Catastrophes We Must Avoid Right Now,"Kiernan, Peter D.",Bill Phillips,,1618580051,http://www.amazon.com/dp/product/1618580051,http://images.amazon.com/images/P/1618580051.jpg,http://images.amazon.com/images/P/1618580051.01.jpg
2012-06-26,,Eisenhower in War and Peace,Jean Edward Smith,,,0812982886,http://www.amazon.com/dp/product/0812982886,http://images.amazon.com/images/P/0812982886.jpg,http://images.amazon.com/images/P/0812982886.01.jpg
2012-08-11,,Grant,Jean Edward Smith,,,0684849275,http://www.amazon.com/dp/product/0684849275,http://images.amazon.com/images/P/0684849275.jpg,http://images.amazon.com/images/P/0684849275.01.jpg
2012-12-01,,The New Korea: An Inside Look at South Korea's Economic Rise,"Kim, Myung Oak",Bill Phillips,Hardcoded image link,0300107951,http://www.amazon.com/dp/product/0300107951,"https://images-na.ssl-images-amazon.com/images/I/51DvbhvnSFL._SX342_BO1,204,203,200_.jpg","https://images-na.ssl-images-amazon.com/images/I/51DvbhvnSFL._SX342_BO1,204,203,200_.jpg"
2013-01-12,,The Righteous Mind: Why Good People are Divided by Politics and Religion,"Haidt, Jonathan",Bill Phillips,,0307455777,http://www.amazon.com/dp/product/0307455777,http://images.amazon.com/images/P/0307455777.jpg,http://images.amazon.com/images/P/0307455777.01.jpg
2013-02-23,,Benjamin Franklin: An American Life,"Isaacson, Walter",Stephen Houser,,074325807X,http://www.amazon.com/dp/product/074325807X,http://images.amazon.com/images/P/074325807X.jpg,http://images.amazon.com/images/P/074325807X.01.jpg
2013-03-30,,Thomas Jefferson: The Art of Power,"Meacham, Jon",Stephen Houser,,0812979486,http://www.amazon.com/dp/product/0812979486,http://images.amazon.com/images/P/0812979486.jpg,http://images.amazon.com/images/P/0812979486.01.jpg
2013-04-27,,The Last Zero Fighter: Firsthand Accounts from WWII Japanese Naval Pilots,"King, Dan",Bill Phillips,,1468178806,http://www.amazon.com/dp/product/1468178806,http://images.amazon.com/images/P/1468178806.jpg,http://images.amazon.com/images/P/1468178806.01.jpg
2013-05-25,,Coolidge,Amity Shlaes,,,0061967599,http://www.amazon.com/dp/product/0061967599,http://images.amazon.com/images/P/0061967599.jpg,http://images.amazon.com/images/P/0061967599.01.jpg
2013-06-15,,1776,David McCullough,,Unsure if this was really a book club book.,0743226720,http://www.amazon.com/dp/product/0743226720,http://images.amazon.com/images/P/0743226720.jpg,http://images.amazon.com/images/P/0743226720.01.jpg
2013-07-20,,Lincoln Unbound: How an Ambitious Young Railsplitter Saved the American Dream--and How We Can Do It Again,Rich Lowry,,,0062123785,http://www.amazon.com/dp/product/0062123785,http://images.amazon.com/images/P/0062123785.jpg,http://images.amazon.com/images/P/0062123785.01.jpg
2013-08-31,,"Republic, Lost: How Money Corrupts Congress--and a Plan to Stop It","Lessig, Lawrence",Stephen Houser,,1455537012,http://www.amazon.com/dp/product/1455537012,http://images.amazon.com/images/P/1455537012.jpg,http://images.amazon.com/images/P/1455537012.01.jpg
2013-10-05,,The Hudson: A History,"Lewis, Tom",Stephen Houser,,0300119909,http://www.amazon.com/dp/product/0300119909,http://images.amazon.com/images/P/0300119909.jpg,http://images.amazon.com/images/P/0300119909.01.jpg
2013-11-16,,David and Goliath,"Gladwell, Malcolm",Stephen Houser,,0316204374,http://www.amazon.com/dp/product/0316204374,http://images.amazon.com/images/P/0316204374.jpg,http://images.amazon.com/images/P/0316204374.01.jpg
2013-12-14,,The Smartest Kids in the World: And How They Got That Way,"Ripley, Amanda",,,145165443X,http://www.amazon.com/dp/product/145165443X,http://images.amazon.com/images/P/145165443X.jpg,http://images.amazon.com/images/P/145165443X.01.jpg
2014-02-02,,Average Is Over: Powering America Beyond the Age of the Great Stagnation,"Cowen, Tyler",Bill Phillips,,0142181110,http://www.amazon.com/dp/product/0142181110,http://images.amazon.com/images/P/0142181110.jpg,http://images.amazon.com/images/P/0142181110.01.jpg
2014-06-21,,Smaller Faster Lighter Denser Cheaper: How Innovation Keeps Proving the Catastrophists Wrong,"Bryce, Robert",Bill Phillips,,1610395476,http://www.amazon.com/dp/product/1610395476,http://images.amazon.com/images/P/1610395476.jpg,http://images.amazon.com/images/P/1610395476.01.jpg
2014-07-12,,Shop Class as Soulcraft: An Inquiry Into the Value of Work,"Crawford, Matthew B.",Stephen Houser,,0143117467,http://www.amazon.com/dp/product/0143117467,http://images.amazon.com/images/P/0143117467.jpg,http://images.amazon.com/images/P/0143117467.01.jpg
2014-08-02,,Garbology: Our Dirty Love Affair with Trash,"Humes, Edward",Rush Brown,,1583335234,http://www.amazon.com/dp/product/1583335234,http://images.amazon.com/images/P/1583335234.jpg,http://images.amazon.com/images/P/1583335234.01.jpg
2014-08-23,,The Swerve: How the World Became Modern,"Greenblatt, Stephen",Rush Brown,,0393343405,http://www.amazon.com/dp/product/0393343405,http://images.amazon.com/images/P/0393343405.jpg,http://images.amazon.com/images/P/0393343405.01.jpg
2014-12-06,,Is College Worth It?: A Former United States Secretary of Education and a Liberal Arts Graduate Expose the Broken Promise of Higher Education,"Bennett, William J.",Bill Phillips,,1595552790,http://www.amazon.com/dp/product/1595552790,http://images.amazon.com/images/P/1595552790.jpg,http://images.amazon.com/images/P/1595552790.01.jpg
2015-01-17,,Calvin Cobb: Radio Woodworker!,"Underhill, Roy",Stephen Houser,Hardcoded image link,0990623025,http://www.amazon.com/dp/product/0990623025,https://images-na.ssl-images-amazon.com/images/I/71PPEKNv3zL.jpg,https://images-na.ssl-images-amazon.com/images/I/71PPEKNv3zL.jpg
2015-03-28,,Finn,"Clinch, Jon",Rush Brown,,0812977149,http://www.amazon.com/dp/product/0812977149,http://images.amazon.com/images/P/0812977149.jpg,http://images.amazon.com/images/P/0812977149.01.jpg
2015-04-18,,Dead Wake: The Last Crossing of the Lusitania,"Larson, Erik",Stephen Houser,,0307408876,http://www.amazon.com/dp/product/0307408876,http://images.amazon.com/images/P/0307408876.jpg,http://images.amazon.com/images/P/0307408876.01.jpg
